Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Radiation_Global_Tilted,Radiation_Diffuse_Tilted
15.88608837,23.45516777,1.483739138,1.126787186,36.16291809,0,3.258770704,0.454395026
15.84895229,23.40731621,1.867377043,1.518213034,36.11396027,0,2.931008816,0.27591455
15.57600212,23.72967911,2.430707932,1.995010972,36.12559128,0,2.743934393,0.16564776
15.31350994,24.10669136,2.376288891,1.915937185,36.16590881,0,2.843351126,0.244332492
15.17959976,24.41881371,2.215000153,1.669890404,36.20081711,0,3.281777382,0.488613993
15.00220013,24.67479515,2.505801678,2.043143749,36.19139099,0,3.168593884,0.552848697
14.77940464,24.95064545,2.727920771,2.26718688,36.20715714,0,3.503750801,0.704221904
14.31476212,25.42899895,3.139837265,2.651032448,36.23083115,0,3.689040899,0.815742433
13.47576618,26.35802841,4.190517902,3.645204067,36.22204971,0,4.682289124,1.704957247
12.18866158,28.22343445,5.425209999,4.759916306,36.30381012,0,5.910198689,2.684504986
11.73287392,29.92073441,4.486013412,3.820053816,36.2974205,0,5.315975189,2.141572237
11.68315315,29.91356087,4.202060223,3.49670434,36.16596603,0,5.233011723,2.068630695
11.44605827,30.5513401,3.985331059,3.242143631,36.15996552,0,4.686886787,1.600314379
11.11553764,31.37115669,3.913652182,3.319960594,36.06682587,0,4.591709137,1.532833457
10.9815731,31.94732475,2.706864357,2.122160196,36.02367783,0,4.398840904,1.373178363
11.09905243,31.43360138,1.81275928,1.334886789,35.95317078,0,4.091178894,1.155186176
11.19805622,31.34098816,1.722277761,1.298594594,35.92351532,0,3.783810854,0.923100471
11.15766907,31.43253136,1.812594891,1.228772521,35.94151306,0,3.545751572,0.469000816
11.14127159,31.41413689,1.006714821,0.6679281,35.95757675,0,2.889269352,0.294801921
11.60909748,30.61776543,0.54665792,0.403362155,36.01926041,0,2.462776423,0.167652458
11.87436485,29.82755089,0.717665017,0.41003418,35.98968506,0,2.564067364,0.171777114
12.00411034,29.42487526,1.358333826,0.967131317,36.0152626,0,2.559746504,0.160101995
12.1243248,29.48149109,1.013395071,0.643315554,35.98745728,0,2.597851753,0.161240473
12.87923813,28.26364517,0.412900269,0.400554389,35.92287827,0,2.070659637,0.116794318
13.17556667,27.38783646,0.628438056,0.410015732,35.88156891,0,1.966777325,0.09323027
13.01031971,27.65708542,1.345041752,0.854916632,35.89199448,0,2.053513527,0.099734925
13.11547184,27.46482468,0.920409977,0.564679742,35.90087128,0,2.046689987,0.091066733
13.69968891,26.32804489,0.425498128,0.406088471,35.90668869,0,1.873122454,0.074019916
13.61156082,26.162117,0.799446821,0.434484571,35.87229156,0,2.295708656,0.125887349
13.66841221,26.26978874,0.746157706,0.517709911,35.85354233,0,2.100069284,0.098694824
14.04127312,25.6512394,0.697383881,0.486516982,35.93284988,0,2.32238555,0.155283257
13.95641994,25.78964424,0.912505746,0.522420287,35.94756317,0,2.648526669,0.176261589
14.56600857,24.77932167,0.325045824,0.406086177,35.92990112,0,2.337961912,0.127164662
14.64935303,24.35954857,0.4329696,0.408684134,36.02852631,0,2.289549828,0.123782441
14.38805389,24.78435135,0.507782102,0.414889634,36.21273041,0,2.457875252,0.151414141
14.78898811,24.26641273,0.652163208,0.454648644,36.12498093,0,2.382766962,0.139592916
14.96048069,23.82320976,0.793627739,0.585936248,36.23025131,0,2.687702656,0.303830057
14.07717228,25.09783745,2.636848688,2.169605732,36.30086136,0,3.204988718,0.537334919
13.33733845,26.32681847,3.60763669,3.068683624,36.33099365,0,3.945209026,0.864696026
13.18652058,26.97411346,2.503427267,2.041563034,36.38729858,0,3.384476423,0.624485791
14.55383301,24.75681496,0.444061905,0.410304666,36.3798027,0,2.47532177,0.274165362
14.59623814,24.19745636,1.01081562,0.725710869,36.3274498,0,2.319180012,0.171047404
15.19454098,23.6113205,0.467201799,0.415969402,36.29280472,0,1.970784426,0.113084503
15.49095631,22.84472656,0.522667646,0.450845897,36.288311,0,2.257712364,0.134241894
14.93085957,23.69556808,1.608956218,1.123677611,36.31510544,0,2.962310791,0.384119332
14.69901848,24.15434837,1.279399872,0.803540945,36.38394928,0,2.952806711,0.329082459
14.48518372,24.41575241,1.569341183,1.122617841,36.42453766,0,2.950047493,0.203107372
14.42184448,24.58539009,1.540018678,1.085344791,36.34915543,0,2.737723112,0.181733742
14.39076424,24.51039886,1.701157451,1.237338305,36.29584885,0,2.964651585,0.335196614
14.64579105,23.92028809,1.138873339,0.722543895,36.32028198,0,2.82187748,0.268431127
14.69462776,23.58307266,1.140688896,0.708360374,36.2206192,0,2.706218243,0.211119667
15.15189552,22.68610191,0.476746887,0.416378886,36.16910934,0,2.13933301,0.124828987
15.50330544,22.0203495,0.360327929,0.414565623,36.15096664,0,2.055403471,0.102802895
15.29656601,22.31043434,0.661691844,0.503289104,36.12020874,0,2.511091232,0.100424759
15.23854446,22.33247948,0.846202493,0.497942954,36.18125916,0,2.494978428,0.12766479
15.08580303,22.50509453,1.191437602,0.706767023,36.15800095,0,2.101739883,0.092663713
15.22402763,22.17132568,0.854845166,0.525508523,36.25708008,0,2.093986511,0.094035245
15.48628807,21.61808777,0.884802282,0.526440561,36.14962769,0,2.381533146,0.158066943
15.66358566,21.29210281,0.804117501,0.548122227,36.21831131,0,2.641708612,0.232349172
15.73234844,21.13194466,0.878808677,0.517388165,36.15818405,0,2.700444937,0.259576142
15.45625877,21.61431885,1.908783197,1.396621108,36.19061661,0,2.966765165,0.387423843
13.56073666,24.9743042,4.717411041,4.082563877,36.30796814,0,4.101535797,0.963183999
12.37722111,27.31248283,4.642330647,3.992070675,36.65332031,0,4.653486729,1.512186885
12.07541466,28.16787529,3.76851058,3.19026041,36.69848633,0,4.541408062,1.467899323
11.95112038,28.51537132,3.235515594,2.735696077,36.59648895,0,4.3165555,1.292001367
11.81999207,28.8456707,2.893975735,2.465298653,36.48109055,0,3.994469166,0.997569501
11.71426201,29.11445427,2.758099079,2.2194767,36.42474747,0,3.612071276,0.696883559
