T,H,P
29.91,73.83,0
29.91,73.83,0
29.91,73.83,0
29.92,73.84,0
29.9,73.85,0
29.91,73.86,0
29.9,73.85,0
29.9,73.87,0
29.9,73.86,0
29.9,73.88,0
29.9,73.87,0
29.91,73.85,0
29.89,73.87,0
29.89,73.89,0
29.9,73.88,0
29.9,73.88,0
29.89,73.89,0
29.91,73.9,0
29.9,73.88,0
29.9,73.9,0
29.9,73.87,0
29.9,73.89,0
29.9,73.89,0
29.9,73.92,0
29.89,73.91,0
29.89,73.91,0
29.9,73.89,0
29.9,73.88,0
29.9,73.88,0
29.9,73.94,0
29.89,73.95,0
29.88,73.98,0
29.89,74.2,0
29.89,74.1,0
29.89,74.16,0
29.9,74.2,0
29.91,74.19,0
29.92,74.24,0
29.93,74.22,0
29.93,74.16,0
29.92,74.26,0
29.93,74.29,0
29.94,74.36,0
29.95,74.34,0
29.96,74.22,0
29.96,74.28,0
29.97,74.23,0
29.97,74.22,0
29.98,74.3,0
29.99,74.36,0
29.98,74.31,0
30,74.24,0
30,74.21,0
29.99,74.27,0
30.1,74.28,0
30.1,74.28,0
30.2,74.23,0
30.1,74.25,0
30.1,74.27,0
30.2,74.27,0
30.3,74.34,0
30.2,74.33,0
29.99,74.35,0
30,74.83,0
30.1,74.58,0
30.1,74.47,0
30.1,74.5,0
30.1,74.58,0
30.1,74.57,0
30.1,74.58,0
30.1,74.64,0
30.1,74.64,0
30.3,75.19,0
30.3,75.2,0
30.3,75.7,0
30.4,74.92,0
30.5,74.88,0
30.4,74.9,0
30.4,74.95,0
30.3,75.1,0
30.4,74.99,0
30.4,75.12,0
30.5,75.11,0
30.6,75.14,0
30.7,75.26,0
30.7,75.49,0
30.7,75.44,0
30.7,75.43,0
30.7,75.42,0
30.8,75.42,0
30.1,75.6,0
30.1,75.55,0
30.1,75.55,0
30.11,75.58,0
30.11,75.71,0
30.13,75.7,0
30.14,75.73,0
30.15,75.81,0
30.16,75.91,0
30.18,75.94,0
30.19,75.91,0
30.19,75.89,0
30.2,75.94,0
30.21,76.3,0
30.22,76.1,0
30.23,76,0
30.23,76.8,0
30.24,76.7,0
30.25,76.11,0
30.27,76.18,0
30.26,76.13,0
30.28,76.32,0
30.28,76.34,0
30.3,76.26,0
30.3,76.24,0
30.29,76.32,0
30.3,76.62,0
30.3,76.64,0
30.32,76.53,0
30.33,76.5,0
30.33,76.48,0
30.33,76.47,0
30.35,76.48,0
30.35,76.5,0
30.33,76.65,0
30.34,77.3,0
30.33,77.23,0
30.33,77.36,0
30.31,77.52,0
30.34,77.45,0
30.34,77.3,0
30.35,77.36,0
30.35,77.51,0
30.36,77.62,0
30.34,77.71,0
30.33,77.84,0
30.35,77.83,0
30.34,77.94,0
30.33,77.89,0
30.34,78.2,0
30.35,78.1,0
30.36,78.5,0
30.36,77.98,0
30.38,78.5,0
30.4,78.5,0
30.4,78.2,0
30.42,78.6,0
30.43,78.2,2.47
30.34,78.82,6.04
30.28,78.95,15.85
30.26,78.68,15.5
30.26,78.13,20.34
30.22,77.28,30.6
30.18,75.59,31.58
30.12,74.39,31.66
30.3,73.23,31.4
29.82,72.23,31.65
29.69,71.32,32.22
29.54,70,31.11
29.41,69.21,31.8
29.2,68.51,31.64
28.89,68.12,31.34
