T,H,P
28.66,59.5,0
28.67,59.51,0
28.67,59.53,0
28.67,59.55,0
28.67,59.57,0
28.67,59.59,0
28.65,59.7,0
28.67,59.73,0
28.65,59.75,0
28.66,59.73,0
28.65,59.74,0
28.65,59.77,0
28.65,59.77,0
28.65,59.78,0
28.64,59.79,0
28.64,59.8,0
28.65,59.81,0
28.63,59.82,0
28.64,59.83,0
28.65,59.86,0
28.65,59.9,0
28.65,59.91,0
28.64,59.91,0
28.65,59.92,0
28.65,59.93,0
28.65,59.94,0
28.64,59.98,0
28.64,60.9,0
28.65,60.7,0
28.65,60.1,0
28.65,60.9,0
28.65,60.8,0
28.64,60.15,0
28.65,60.14,0
28.64,60.23,0
28.64,60.22,0
28.64,60.21,0
28.63,60.22,0
28.64,60.25,0
28.62,60.27,0
28.63,60.24,0
28.63,60.27,0
28.63,60.29,0
28.63,60.31,0
28.61,60.34,0
28.62,60.33,0
28.62,60.35,0
28.62,60.33,0
28.63,60.34,0
28.62,60.36,0
28.62,60.38,0
28.62,60.38,0
28.62,60.4,0
28.63,60.42,0
28.63,60.41,0
28.63,60.48,0
28.63,60.49,0
28.62,60.5,0
28.63,60.51,0
28.63,60.56,0
28.62,60.55,0
28.62,60.55,0
28.63,60.6,0
28.63,60.61,0
28.63,60.61,0
28.62,60.66,0
28.63,60.67,0
28.61,60.68,0
28.61,60.74,0
28.62,60.76,0
28.63,60.72,0
28.62,60.74,0
28.62,60.77,0
28.63,60.81,0
28.62,60.82,0
28.62,60.96,0
28.61,60.95,0
28.6,61.2,0
28.61,60.98,0
28.6,60.99,0
28.59,60.97,0
28.6,61.2,0
28.6,61.7,0
28.6,61.5,0
28.6,61.8,0
28.6,61.19,0
28.61,61.17,0
28.6,61.15,0
28.6,61.2,0
28.61,61.17,0
28.62,61.15,0
28.62,61.14,0
28.63,61.14,0
28.63,61.12,0
28.64,61.16,0
28.64,61.18,0
28.65,61.18,0
28.65,61.15,0
28.65,61.22,0
28.65,61.2,0
28.64,61.24,0
28.64,61.23,0
28.64,61.24,0
28.64,61.29,0
28.64,61.28,0
28.64,61.28,0
28.63,61.3,0
28.62,61.36,0
28.63,61.34,0
28.62,61.32,0
28.62,61.4,0
28.62,61.43,0
28.62,61.41,0
28.63,61.48,0
28.62,61.53,0
28.62,61.55,0
28.63,61.54,0
28.63,61.49,0
28.63,61.49,0
28.62,61.52,0
28.61,61.51,0
28.62,61.51,0
28.62,61.55,0
28.61,61.53,0
28.62,61.54,0
28.62,61.57,0
28.6,61.6,0
28.61,61.67,0
28.61,61.62,0
28.61,61.69,0
28.6,61.68,0
28.61,61.65,0
28.62,61.68,0
28.62,61.69,0
28.61,61.66,0
28.62,61.71,0
28.62,61.71,0
28.61,61.7,0
28.6,61.75,0
28.61,61.7,0
28.61,61.8,0
28.61,61.78,0
28.61,61.79,0
28.61,61.79,0
28.61,61.85,0
28.61,61.81,0
28.61,61.8,0
28.6,61.8,0
28.61,61.79,0
28.59,61.81,0
28.59,61.82,0
28.59,61.86,0
28.59,61.92,0
28.59,61.87,0
28.6,61.93,0
28.59,62,0
28.6,62.3,0
28.62,61.97,0
28.6,61.97,0
28.61,61.98,0
28.61,61.96,0
28.61,62.3,0
28.61,62.12,0
28.61,62.13,0
28.59,62.15,0
28.59,62.18,0
28.6,62.13,0
28.6,62.14,0
28.6,62.14,0
28.59,62.14,0
28.6,62.1,0
28.6,62.8,0
28.61,62.5,0
28.6,62.9,0
28.6,62.12,0
28.62,62.1,0
28.59,62.11,0
28.6,62.1,0
28.6,62.13,0
28.59,62.16,0
28.59,62.13,0
28.59,62.15,0
28.59,62.18,0
28.59,62.24,0
28.59,62.21,0
28.6,62.18,0
28.6,62.18,0
28.6,62.17,0
28.59,62.19,0
28.6,62.2,0
28.6,62.16,0
28.6,62.16,0
28.62,62.22,0
28.6,62.21,0
28.61,62.2,0
28.62,62.23,0
28.61,62.23,0
28.62,62.23,0
28.61,62.24,0
28.61,62.22,0
28.6,62.24,0
28.6,62.25,0
28.61,62.26,0
28.61,62.36,0
28.61,62.41,0
28.61,62.37,0
28.61,62.39,0
28.62,62.47,0
28.62,62.48,0
28.61,62.51,0
28.62,62.45,0
28.62,62.56,0
28.62,62.5,0
28.61,62.57,0
28.62,62.56,0
28.63,62.55,0
28.64,62.5,0
28.63,62.46,0
28.63,62.48,0
28.63,62.44,0
28.63,62.47,0
28.63,62.46,0
28.62,62.46,0
28.63,62.48,0
28.62,62.49,0
28.62,62.51,0
28.61,62.51,0
28.63,62.51,0
28.63,62.52,0
28.62,62.52,0
28.63,62.58,0
28.62,62.56,0
28.63,62.63,0
28.62,62.62,0
28.61,62.61,0
28.62,62.58,0
28.61,62.59,0
28.61,62.6,0
28.62,62.59,0
28.62,62.59,0
28.63,62.59,0
28.62,62.58,0
28.62,62.6,0
28.61,62.58,0
28.61,62.62,0
28.63,62.64,0
28.63,62.68,0
28.62,62.63,0
28.63,62.64,0
28.62,62.63,0
28.63,62.65,0
28.63,62.65,0
28.64,62.64,0
28.63,62.67,0
28.63,62.7,0
28.63,62.71,0
28.62,62.72,0
28.62,62.7,0
28.62,62.72,0
28.62,62.73,0
28.61,62.73,0
28.63,62.74,0
28.62,62.77,0
28.62,62.78,0
28.62,62.78,0
28.61,62.78,0
28.61,62.81,0
28.62,62.8,0
28.62,62.84,0
28.62,62.84,0
28.61,62.84,0
28.62,62.84,0
28.63,62.87,0
28.62,62.92,0
28.62,62.92,0
28.62,62.94,0
28.62,62.99,0
28.63,62.98,0
28.62,63.1,0
28.61,63.1,0
28.62,63.5,0
28.62,63.5,0
28.61,63.1,0
28.63,63.15,0
28.61,63.13,0
,,0
,,0
28.62,63.17,0
28.62,63.18,0
28.63,63.2,0
28.62,63.21,0
28.63,63.19,0
28.63,63.23,0
28.63,63.22,0
28.64,63.23,0
28.65,63.2,0
28.64,63.22,0
28.64,63.25,0
28.64,63.24,0
28.65,63.27,0
28.65,63.24,0
28.64,63.25,0
28.65,63.29,0
28.64,63.29,0
28.63,63.3,0
28.64,63.35,0
28.64,63.34,0
28.64,63.36,0
28.64,63.35,0
28.64,63.36,0
28.63,63.36,0
28.63,63.37,0
28.64,63.37,0
28.64,63.37,0
28.65,63.37,0
28.64,63.39,0
28.63,63.41,0
28.63,63.5,0
28.64,63.51,0
28.63,63.59,0
28.65,63.53,0
28.63,63.5,0
28.64,63.53,0
28.65,63.52,0
28.65,63.5,0
28.64,63.51,0
28.64,63.51,0
28.64,63.51,0
28.64,63.51,0
28.64,63.53,0
28.64,63.53,0
28.66,63.54,0
28.64,63.54,0
28.64,63.56,0
28.64,63.55,0
28.65,63.56,0
28.66,63.57,0
28.65,63.58,0
28.65,63.58,0
28.65,63.61,0
28.65,63.62,0
28.65,63.64,0
28.66,63.63,0
28.65,63.65,0
28.65,63.63,0
28.65,63.65,0
28.65,63.67,0
28.65,63.66,0
28.65,63.66,0
28.65,63.68,0
28.65,63.69,0
28.65,63.69,0
28.65,63.68,0
28.65,63.7,0
28.65,63.71,0
28.64,63.78,0
28.66,63.75,0
28.67,63.76,0
28.66,63.77,0
28.66,63.8,0
28.65,63.79,0
28.66,63.81,0
28.65,63.83,0
28.67,63.81,0
28.65,63.83,0
28.65,63.83,0
28.67,63.85,0
28.64,63.85,0
28.65,63.87,0
28.65,63.87,0
28.66,63.87,0
28.66,63.93,0
28.65,63.9,0
28.65,63.9,0
28.65,63.93,0
28.65,63.92,0
28.65,63.95,0
28.67,63.94,0
28.65,63.97,0
28.65,63.97,0
28.66,63.96,0
28.66,63.97,0
28.65,63.97,0
28.66,64,0
28.67,64,0
28.64,64.2,0
28.65,64.4,0
28.65,64.5,0
28.65,64.8,0
28.66,64.4,0
28.66,64.4,0
28.65,64.4,0
28.65,64.6,0
28.64,64.5,0
28.65,64.9,0
28.65,64.7,0
28.66,64.7,0
28.66,64.9,0
28.65,64.8,0
28.65,64.14,0
28.65,64.13,0
28.66,64.16,0
28.66,64.15,0
28.66,64.16,0
28.66,64.18,0
28.65,64.2,0
28.66,64.21,0
28.67,64.19,0
28.68,64.18,0
28.67,64.19,0
28.66,64.21,0
28.66,64.21,0
28.66,64.25,0
28.65,64.35,0
28.66,64.34,0
28.66,64.34,0
28.65,64.32,0
28.66,64.31,0
28.67,64.3,0
28.68,64.31,0
28.67,64.31,0
28.67,64.31,0
28.68,64.37,0
28.68,64.39,0
28.67,64.4,0
28.67,64.42,0
28.67,64.43,0
28.67,64.48,0
28.66,64.48,0
28.67,64.47,0
28.67,64.48,0
28.67,64.46,0
28.67,64.46,0
28.67,64.46,0
28.66,64.46,0
28.66,64.51,0
28.65,64.54,0
28.66,64.52,0
28.66,64.55,0
28.68,64.6,0
28.68,64.6,0
28.68,64.59,0
28.68,64.57,0
28.68,64.59,0
28.68,64.57,0
28.66,64.55,0
28.68,64.56,0
28.68,64.58,0
28.68,64.57,0
28.68,64.57,0
28.68,64.6,0
28.68,64.6,0
28.69,64.61,0
28.69,64.62,0
28.69,64.59,0
28.69,64.6,0
28.69,64.61,0
28.67,64.61,0
28.68,64.63,0
28.67,64.64,0
28.66,64.65,0
28.68,64.66,0
28.68,64.65,0
28.69,64.65,0
28.68,64.68,0
28.68,64.7,0
28.68,64.7,0
28.69,64.71,0
28.68,64.71,0
28.68,64.71,0
28.68,64.74,0
28.68,64.81,0
28.67,64.97,0
28.67,65.28,0
28.67,65.14,0
28.68,65.39,0
28.67,65.37,0
28.67,65.36,0
28.68,65.44,0
28.66,65.62,0
28.67,65.55,0
28.68,65.5,0
28.68,65.67,0
28.69,65.86,0
28.69,65.93,0
28.7,66.1,0
28.71,65.98,0
28.72,66.33,0
28.72,66.47,0
28.73,66.75,0
28.73,66.93,0
28.73,67.16,0
28.73,67.24,0
28.74,67.47,0
28.73,67.74,0
28.75,67.99,0
28.75,67.98,0
28.75,68.7,0
28.77,68.21,0
28.79,68.18,0
28.79,68.27,0
28.79,68.39,0
28.79,68.63,0
28.8,68.77,0
28.8,68.68,0
28.8,68.61,0
28.8,68.57,0
28.81,68.61,0
28.82,68.58,0
28.81,68.66,0
28.82,68.66,0
28.81,69.12,0
28.85,68.88,0
28.84,69,0
28.84,69.9,0
28.86,69.4,0
28.88,68.89,0
28.87,68.84,0
28.88,68.88,0
28.87,69.4,0
28.88,69.36,0
28.89,69.33,0
28.9,69.32,0
28.9,69.41,0
28.91,69.38,0
28.91,69.53,0
28.93,69.5,0
28.94,69.51,0
28.95,69.57,0
28.95,69.81,0
28.97,70.5,0
28.98,70.12,0
28.99,70.33,0
28.98,70.33,0
28.99,70.32,0
28.98,70.29,0
29.1,70.52,0
29.1,70.92,0
29.2,71.3,0
29.3,71.25,0
29.5,71.19,0
29.4,71.2,0
29.5,71.2,0
29.6,71.2,0
29.5,71.27,0
29.6,71.19,0
29.7,71.8,0
29.8,71.24,0
29.8,71.15,0
29.7,71.7,0
29.8,71.29,0
29.1,71.61,0
29.11,71.19,0
29.11,71.14,0
29.12,71.52,0
29.13,71.71,0
29.13,71.37,0
29.13,71.39,0
29.15,71.55,0
29.15,71.62,0
29.16,71.69,0
29.17,71.78,0
29.17,71.99,0
29.17,71.8,0
29.18,71.78,0
29.18,72.13,0
29.19,71.85,0
29.19,71.89,0
29.2,71.88,0
29.2,71.99,0
29.2,72.6,0
29.22,72.28,0
29.22,72.35,0
29.22,72.59,0
29.24,72.76,0
29.24,73.1,0
29.25,73.12,0
29.2,73.5,2.63
29.6,75.63,6.52
28.98,75.98,15.56
28.92,75.68,15.15
28.86,75.8,20.4
28.79,74.13,30.39
28.64,72.78,31.26
28.54,71.68,31.49
28.37,70.6,30.82
28.12,70.1,31.25
27.89,69.28,30.9
27.72,68.62,31.34
27.57,68.12,31.39
27.36,67.63,31.09
27.2,67.3,31.06
27.2,66.81,31.4
26.98,65.91,30.58
26.82,65.42,30.81
26.64,65.8,30.74
26.4,65.62,31.36
26.29,65.3,31.04
26.22,65.5,30.88
26.17,64.15,31.01
26.4,64.36,31.29
26.3,64.3,30.38
25.97,63.5,30.71
25.95,63.15,31.02
25.86,62.71,30.79
25.7,62.47,30.48
25.63,62.58,30.66
25.52,62.19,30.88
25.42,62.31,30.87
25.36,61.97,30.34
25.31,61.56,30.93
25.22,61.99,31.03
25.14,61.7,29.74
25.5,61.8,30.42
25.2,61.86,30.66
25.2,61.18,30.84
24.92,61.4,31.12
24.88,61.22,30.62
24.77,61.11,30.74
24.66,61.14,30.24
24.64,61.23,30.77
24.57,61.42,30.7
24.54,60.96,30.21
24.55,60.64,30.81
24.52,60.57,31.11
24.45,60.34,30.04
24.42,60.38,30.5
24.42,60.71,30.55
24.42,60.43,30.26
24.39,60.15,30.15
24.35,60.14,30.5
24.27,59.88,30.19
24.15,59.77,30.38
24.1,59.94,31.05
24.12,59.96,30.39
24.11,59.73,30.99
24.9,59.89,30.22
24.4,59.91,29.99
24.4,59.82,30.62
23.97,59.91,30.32
23.93,59.93,30.43
23.94,59.7,30.3
23.87,59.9,30.82
23.82,59.94,30.87
23.78,59.98,30.7
23.77,59.97,31.35
23.77,59.75,31
23.71,60.6,31.19
23.72,59.79,30.63
23.7,59.9,30.33
23.71,59.68,31.01
23.65,59.5,30.41
23.65,59.62,30.75
23.67,59.52,30.31
23.66,59.42,30.98
23.64,59.27,30.82
23.61,59.25,30.75
23.63,59.28,30.78
23.62,58.84,30.86
23.57,59.6,30.06
23.52,59.13,30.46
23.53,59.7,30.56
23.54,59.9,30.45
23.52,58.91,30.54
23.51,58.92,30.89
23.46,58.95,30.96
23.44,58.98,30.09
23.39,58.94,30.38
23.38,58.91,30.29
23.42,58.81,30.91
23.38,58.82,30.25
23.37,58.5,30.98
23.36,58.36,30.66
23.3,58.54,30.95
23.27,58.6,30.68
23.24,58.6,30.39
23.21,58.61,30.67
23.18,58.53,30.53
23.15,58.61,30.53
23.14,58.49,29.99
23.1,58.59,30.83
23.9,58.46,30.83
23.14,58.47,30.28
23.13,58.37,30.32
23.11,58.25,30.77
23.1,58.24,30.53
23.5,58.18,30.32
23.1,58.24,30.55
22.99,58.4,30.54
23,58.2,30.52
22.99,58.17,30.27
22.98,58.47,30.36
22.99,58.39,30.43
22.93,58.43,30.57
22.87,58.57,30.34
22.87,58.61,29.94
22.84,58.43,30.79
22.83,58.31,29.96
22.79,58.29,30.58
22.75,58.37,30.57
22.71,58.44,30.74
22.71,58.57,30.68
22.72,58.5,30.45
22.65,58.55,30.3
22.68,58.53,30.14
22.68,58.47,29.72
22.66,58.42,30.56
22.63,58.44,30.73
22.57,58.59,30.31
22.6,58.47,30.82
22.55,58.59,30.65
22.45,58.88,31.02
22.48,58.76,30.51
22.47,58.8,31.02
22.48,58.76,30.3
22.47,58.6,30.66
22.51,58.57,30.9
22.5,58.48,29.83
22.4,58.56,30.06
22.39,58.51,30.58
22.4,58.44,30.13
22.36,58.61,30.43
22.38,58.53,30.67
22.39,58.45,30.23
22.37,58.44,30.58
22.36,58.49,30.68
22.37,58.47,30.73
22.37,58.3,30.97
22.27,58.59,30.79
22.2,58.8,30.97
22.23,58.84,30.97
22.25,58.82,31.19
22.26,58.82,30.82
22.27,58.88,31.16
22.28,58.82,30.65
22.26,58.83,30.94
22.26,58.81,30.9
22.21,58.96,30.69
22.22,58.91,30.7
22.17,59.4,31.23
22.16,59.14,30.97
22.9,59.16,31
22.11,59.15,31.08
22.14,59.7,31.3
22.14,58.97,30.99
22.11,59.1,30.56
22.13,58.96,31.19
22.7,58.93,30.84
22.5,58.98,30.16
22.7,58.89,30.56
22.5,58.91,30.76
22.6,58.83,30.02
22.4,58.78,31.02
21.98,58.92,30.15
21.98,58.92,30.1
22,58.78,30.6
22.7,58.66,30.74
22.7,58.56,30.41
22.4,58.62,30.91
22.3,58.75,30.61
22.4,58.66,30.49
22.7,58.62,30.95
22.3,58.66,30.5
22.3,58.79,30.8
22.2,58.68,30.83
22.1,58.7,31.12
21.96,58.85,30.32
21.93,58.89,30.35
21.89,58.96,30.27
21.91,58.86,30.23
21.92,58.86,30.14
21.89,58.95,29.9
21.91,58.84,30.62
21.93,59.3,30.57
21.96,59.6,30.23
21.97,58.58,30.56
21.91,58.64,30.44
21.92,58.67,30.38
21.91,58.66,29.98
21.86,58.73,30.52
21.88,58.67,30.53
21.86,58.76,30.3
21.87,58.61,30.21
21.88,58.62,30.66
21.87,58.62,30.45
21.8,58.71,30.55
21.77,58.83,30.88
21.79,58.8,30.87
21.77,58.79,30.61
21.75,58.78,30.61
21.73,58.97,30.83
21.76,58.92,31.07
21.77,58.75,30.7
21.74,58.78,30.06
21.7,58.75,30.69
21.73,58.81,30.51
21.79,58.56,30.51
21.81,58.5,30.19
21.76,58.47,31.1
21.75,58.58,30.3
21.67,58.58,30.43
21.71,58.55,30.47
21.75,58.45,30.8
21.88,58.37,3.07
22.5,58.34,0
22.2,58.17,0
22.34,58.4,0
22.48,57.96,0
22.6,57.94,0
22.73,57.76,0
22.87,57.65,0
23,57.44,0
23.11,57.36,0
23.23,57.26,0
23.36,57.11,0
23.48,56.99,0
23.61,57.19,0
23.73,57.13,0
23.87,57.1,0
23.98,57.6,0
24.8,56.78,0
24.18,56.76,0
24.28,56.95,0
24.39,56.67,0
24.52,56.55,0
24.61,56.47,0
24.72,57.58,0
24.82,57.49,0
24.93,57.32,0
25.1,57.58,0
25.11,57.91,0
25.19,57.42,0
25.26,57.14,0
25.32,57.63,0
25.4,57.26,0
25.47,57.54,0
25.52,57.33,0
25.6,57.25,0
25.68,57.19,0
25.75,56.99,0
25.8,57.2,0
25.87,57.1,0
25.93,57.18,0
26,57.9,0
26.4,57.36,0
26.1,57.58,0
26.16,57.9,0
26.23,57.43,0
26.28,57.49,0
26.35,57.85,0
26.4,57.51,0
26.46,57.37,0
26.5,57.65,0
26.56,57.76,0
26.61,57.87,0
26.67,57.64,0
26.72,57.63,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
28.78,56.52,0
28.82,56.56,0
28.81,56.45,0
28.69,56.66,0
28.59,57.3,0
28.51,58.13,0
28.44,58.48,0
28.39,58.72,0
28.37,59.3,0
28.32,59.72,0
28.28,59.83,0
28.24,60.17,0
28.2,60.3,0
28.18,60.53,0
28.15,61.37,4.07
28.5,62.7,9.67
27.87,62.66,15.42
27.71,63.4,15.12
27.54,63.22,26.63
27.49,62.94,32.59
27.39,62.33,32.1
27.21,61.64,31.51
27.4,61.47,32.02
26.87,60.82,32.14
26.71,60.52,32.18
26.5,60.4,32.56
26.33,60.13,31.91
26.16,59.87,32.2
25.93,59.93,32.27
25.82,59.72,31.73
25.73,59.58,32.25
25.58,59.33,31.85
25.42,59.49,31.35
25.32,59.25,31.92
25.16,59.9,32.03
25.3,59.16,31.26
24.96,59.24,31.57
24.88,58.89,30.89
24.8,59.2,32.03
24.72,58.74,31.49
24.69,58.93,31.49
24.68,58.65,31.71
24.56,59.1,31.29
24.48,58.86,31.26
24.46,58.8,30.88
24.42,58.68,30.94
24.38,58.53,31.76
24.27,58.25,31.11
24.13,58.54,31.4
24.8,58.51,31.24
24.8,58.48,31.37
24.3,58.32,31.72
23.91,58.47,31.07
23.91,58.44,30.88
23.85,58.21,30.88
23.77,58.36,30.21
23.63,58.37,31.17
23.53,58.32,31.04
23.45,58.45,30.95
23.38,58.59,31.18
23.41,58.5,30.93
23.33,58.5,31.43
23.35,58.34,31.14
23.35,58.32,31.66
23.34,58.4,30.99
23.33,58.23,31.06
23.28,58.17,30.68
23.22,58.18,30.73
23.22,58.4,30.81
23.12,58.11,30.41
23.8,58.24,30.93
23.8,58.14,30.73
23.7,58.19,30.91
23.5,58.12,31.24
23.7,57.98,30.38
23.7,57.89,31.14
23.6,58.4,31.12
23.4,57.68,30.41
23.3,57.79,31.02
23,57.74,30.76
22.97,57.95,31.11
22.98,57.99,31.02
22.99,57.79,30.67
22.98,57.84,30.84
22.98,57.71,30.65
23,57.85,30.69
22.98,57.65,30.69
22.91,57.78,30.14
22.85,57.89,30.48
22.8,57.84,30.57
22.83,57.63,30.43
22.74,57.78,30.51
22.7,57.81,30.91
22.67,57.89,30.51
22.63,57.92,30.15
22.64,57.85,31.32
22.64,57.86,30.25
22.64,57.75,30.4
22.61,57.76,30.87
22.57,57.93,30.92
22.62,57.83,30.49
22.57,57.75,30.27
22.53,57.81,30.66
22.49,57.85,30.46
22.49,57.84,30.55
22.39,57.96,30.45
22.26,58.25,30.64
22.26,58.29,30.36
22.21,58.44,30.44
22.22,58.57,31.13
22.22,58.39,30.23
22.25,58.32,31.04
22.26,58.13,29.95
22.29,58.7,30.74
22.23,58.18,30.69
22.24,58.11,30.5
22.21,58.9,31.36
22.2,58,30.41
22.16,58.16,31
22.24,58.1,30.13
22.27,57.75,30.78
22.24,57.85,30.74
22.25,57.68,30.48
22.11,57.87,30.71
22.8,57.99,30.66
22.4,58.23,30.9
22,58.29,30.6
22.3,58.22,30.64
22.5,58.12,30.81
22.13,58,30.54
22.19,57.77,31.04
22.15,57.85,30.62
22.15,57.92,30.86
22.15,57.69,30.47
22.14,57.63,30.79
22.15,57.58,30.62
22.15,57.64,30.96
22.15,57.74,30.59
22.15,57.59,30.91
22.1,57.78,30.27
22.7,57.83,30.87
22.1,58.4,30.86
22.15,57.96,30.57
22.18,57.93,31.23
22.21,57.69,30.22
22.18,57.86,30.67
22.7,57.99,30.93
22.5,58.5,31.14
22.3,58.21,30.51
22.8,58.27,30.76
22.13,58.4,30.77
22.12,57.96,30.43
22.6,58.34,31.28
22.12,58.2,30.48
22.16,58.8,30.39
22.11,58.1,31.11
22.9,58.15,30.7
22.3,58.12,30.41
22.2,58.22,30.95
22.2,58.27,30.37
22.7,58.6,30.33
22.3,58.9,30.38
22.5,57.99,30.23
22.5,58.4,30.74
22.4,57.95,30.27
22,58.4,30.5
22.1,57.92,29.65
22.1,57.76,30.33
21.85,58.12,30.62
21.77,58.4,30.15
21.74,58.43,30.24
21.83,58.33,30.4
21.74,58.36,30.34
21.65,58.73,30.33
21.59,58.86,30.47
21.63,58.84,30.34
21.61,58.82,30.57
21.61,58.9,30.41
21.54,59.14,30.21
21.62,58.97,30.55
21.62,58.89,29.95
21.6,58.93,30.68
21.66,58.69,30.22
21.61,58.86,30.31
21.7,58.77,30.49
21.81,58.59,30.63
21.87,58.3,30.13
21.9,58.31,30.41
21.95,58.21,30.82
21.97,58.12,30.34
21.93,58.3,30.31
21.9,58.16,30.68
21.89,58.12,30.27
21.89,58.8,30.49
21.86,58.2,30.33
21.86,58.9,30.45
21.84,58.3,30.46
21.79,58.17,30.51
21.79,58.19,30.54
21.81,58.2,30.53
21.86,58.9,30.42
21.84,58.21,30.84
21.84,58.1,30.11
21.83,58.11,30.46
21.84,58.11,30.57
21.79,58.22,30.77
21.74,58.4,29.89
21.77,58.36,30.68
21.81,58.25,30.4
21.82,58.17,30.28
21.78,58.37,30.51
21.76,58.36,30.71
21.74,58.51,30.72
21.74,58.48,30.21
21.73,58.51,30.7
21.65,58.73,30.66
21.6,58.81,30.86
21.53,59.9,30.57
21.56,59.14,30.49
21.6,59.2,30.3
21.66,58.89,30.84
21.71,58.57,30.55
21.75,58.42,30.33
21.75,58.26,30.1
21.81,58.28,3.2
21.88,58.41,0
21.99,58.43,0
22.11,58.46,0
22.27,58.36,0
22.42,58.21,0
22.57,58.1,0
22.74,57.92,0
22.89,57.79,0
23.2,57.69,0
23.15,57.46,0
23.28,57.3,0
23.42,57.19,0
23.55,57.8,0
23.66,57.8,0
23.78,56.95,0
23.87,56.93,0
23.96,56.85,0
24.7,56.74,0
24.16,56.66,0
24.27,56.56,0
24.36,56.66,0
24.46,56.59,0
24.53,56.54,0
24.63,56.89,0
24.71,56.88,0
24.79,56.63,0
24.86,56.52,0
24.93,56.41,0
25.2,56.39,0
25.11,56.34,0
25.18,56.38,0
25.26,56.31,0
25.33,56.43,0
25.38,56.35,0
25.45,56.37,0
25.53,56.36,0
25.59,56.18,0
25.66,56.15,0
25.72,56.24,0
25.8,56.22,0
25.86,56.27,0
25.91,56.2,0
25.97,56.18,0
26.1,56.31,0
26.6,56.16,0
26.11,56.26,0
26.19,56.53,0
26.26,56.41,0
26.3,56.56,0
26.36,56.12,0
26.42,56.27,0
26.46,56.7,0
26.53,56.46,0
26.57,56.23,0
26.6,56.19,0
26.62,56.2,0
26.65,55.97,0
26.68,56.2,0
26.72,55.94,0
26.75,56.1,0
26.77,56.6,0
26.79,56.2,0
26.81,56.2,0
26.83,56,0
26.86,56.1,0
26.87,56.25,0
26.91,56.11,0
26.94,56.1,0
26.97,56.21,0
26.99,56.4,0
27.2,56.1,0
27.4,56.19,0
27.7,56.8,0
27.8,56.6,0
27.12,56.6,0
27.13,56.24,0
27.17,56.13,0
27.17,56.3,0
27.2,56.4,0
27.22,56,0
27.24,56.2,0
27.25,56.7,0
27.27,56.5,0
27.28,56.11,0
27.31,56.15,0
27.31,56.11,0
27.32,56.17,0
27.32,56.8,0
27.34,56.17,0
27.35,56.24,0
27.37,56.19,0
27.38,56.21,0
27.4,56.22,0
27.4,56.25,0
27.42,56.24,0
27.42,56.23,0
27.41,56.26,0
27.43,56.25,0
27.44,56.34,0
27.45,56.34,0
27.46,56.44,0
27.47,56.49,0
27.48,56.59,0
27.49,56.7,0
27.49,56.9,0
27.53,56.79,0
27.53,56.69,0
27.54,56.67,0
27.53,56.73,0
27.54,56.74,0
27.54,56.79,0
27.54,56.79,0
27.55,56.87,0
27.55,56.9,0
27.55,57.5,0
27.56,57.11,0
27.57,57.11,0
27.56,57.4,0
27.57,57.4,0
27.56,57.9,0
27.58,57.3,0
27.58,57.6,0
27.57,57.7,0
27.56,57.14,0
27.57,57.19,0
27.56,57.25,0
27.57,57.42,0
27.56,57.38,0
27.57,57.46,0
27.56,57.47,0
27.57,57.49,0
27.58,57.53,0
27.6,57.67,0
27.6,57.69,0
27.6,57.67,0
27.6,57.73,0
27.6,57.82,0
27.61,57.81,0
27.59,57.84,0
27.6,57.84,0
27.61,57.88,0
27.61,57.94,0
27.61,58,0
27.62,57.97,0
27.64,57.94,0
27.65,57.9,0
27.65,57.97,0
27.66,58.19,0
27.67,58.75,0
27.68,59.39,0
27.7,59.43,0
27.71,58.97,0
27.73,58.97,0
27.75,58.99,0
27.76,59.1,0
27.77,59.22,0
27.79,59.21,0
27.79,59.28,0
27.81,59.37,0
27.82,59.78,0
27.83,60.8,0
27.83,59.87,0
27.85,59.86,0
27.86,59.82,0
27.86,59.77,0
27.87,59.92,0
27.89,59.9,0
27.89,59.98,0
27.9,59.94,0
27.9,59.99,0
27.9,60.26,0
27.91,60.54,0
27.93,60.74,0
27.93,60.69,0
27.93,60.91,0
27.93,60.95,0
27.92,60.91,0
27.95,60.94,0
27.93,60.88,0
27.93,60.94,0
27.95,61.19,0
27.96,61.8,0
27.97,61.13,0
27.98,61.16,0
27.97,61.3,0
27.97,61.36,0
27.97,61.44,0
27.98,61.49,0
27.97,61.66,0
27.98,61.45,0
27.97,61.68,0
27.98,61.74,0
28,61.79,0
28.1,61.88,0
28.1,61.66,0
28.1,61.62,0
28,61.45,0
27.99,63.43,0
27.99,63.26,0
27.98,63.55,0
27.97,63.36,0
27.97,63.4,0
27.96,62.82,0
27.95,63.18,0
27.96,63.1,0
27.94,63.27,0
27.96,63.91,0
27.93,63.51,0
27.95,63.18,0
27.93,63.11,0
27.93,63.98,0
27.93,63.29,0
27.92,62.87,0
27.94,62.84,0
27.93,62.75,0
27.93,62.72,0
27.93,62.6,0
27.93,62.54,0
27.92,62.57,0
27.93,62.6,0
27.91,62.47,0
27.91,62.45,0
27.91,62.45,0
27.9,62.43,0
27.9,62.39,0
27.89,62.46,0
27.89,62.49,0
