PCA1,PCA2,PCA3,Power
-408.4809784,-17.98261119,3.784390651,-6.67E-05
-408.4776447,-17.99391033,3.617570627,0.000733333
-408.9274608,-18.44625207,3.21714454,0.000666667
-409.0080213,-18.51964595,2.959209432,0.000133333
-407.0595354,-17.05068073,3.573148714,0.000133333
-407.4053474,-17.37013231,3.385587313,0.000133333
-407.0093802,-16.97491187,3.541173295,0.0004
-407.6382495,-17.43452323,3.71223497,-6.67E-05
-408.2874924,-18.07059465,3.331332464,0.000333333
-408.1820738,-18.01752697,3.360614779,0.0007
-408.9749497,-18.53194093,3.037041964,3.33E-05
-409.033457,-18.3666555,3.567665099,0.0002
-409.4734561,-18.61202671,3.317489929,-0.000133333
-408.9199714,-18.51099378,2.756959993,0.0004
-408.9280585,-18.54319318,2.881132355,6.67E-05
-408.4915767,-18.15714155,3.326125304,0.000466667
-408.0568264,-17.9017842,3.495108625,0.000266667
-407.4816606,-17.36069885,3.744555447,0.000133333
-407.1005262,-17.29952772,3.091137058,0.001133333
-407.0411615,-17.31229458,3.192206837,0.0006
-408.217389,-18.0206829,3.28218767,0.0004
-409.5660084,-18.61069672,3.114298578,0.000266667
-409.9539648,-18.64143247,3.200400031,0.0006
-409.7355189,-18.67670046,3.102043436,0.000266667
-409.6083608,-18.52902384,3.617279222,0.0008
-410.0024358,-18.67256643,3.181301656,0.000433333
-409.9229097,-18.67474987,3.168210556,0.0005
-409.5024264,-18.69243816,3.036537523,-0.000133333
-409.225237,-18.61122439,3.286322339,-0.0002
-409.1001965,-18.60152018,2.871234374,-6.67E-05
-408.7821404,-18.41684713,3.10854136,1.00E-04
-409.2941896,-18.53121733,3.407630805,0.0005
-409.5938285,-18.67407507,3.324294038,0.000666667
-409.2458557,-18.54300048,3.289949251,0.000466667
-408.2609602,-17.90567787,3.503707127,0.000533333
-408.5097508,-18.23726733,2.82365703,0.000533333
-409.1613508,-18.63408844,2.841118449,0.0002
-408.9879067,-18.57507482,2.934687504,0.000333333
-409.3512098,-18.61945404,2.876930153,0.000466667
-409.3356224,-18.61306685,3.159283343,0.0002
-409.0754324,-18.54118963,3.052684094,0.0004
-409.1479451,-18.48213682,3.262105538,0.000466667
-409.3939177,-18.56421529,3.115334067,-0.0002
-409.4365631,-18.57313449,3.418216816,6.67E-05
-409.3909917,-18.62577952,3.11129572,0.000133333
-408.9506036,-18.33378952,3.542449514,0.000666667
-408.7693971,-18.23506891,3.535832076,0.000533333
-409.5426946,-18.5859173,3.325140166,0.000533333
-409.440655,-18.62578451,3.046568749,0.0004
-408.3586006,-17.83782418,3.824944254,0.0002
-408.0435077,-17.6150987,3.143735203,0.0002
-408.7230504,-18.09231635,3.575323238,0.000666667
-409.0948641,-18.36606484,3.243421795,-0.000133333
-408.7762107,-18.17717198,3.547413166,0.000866667
-408.4904037,-18.15135772,3.170381799,-1.46E-11
-408.0588849,-17.73970561,3.449833313,0.0002
-408.3911045,-18.12602277,3.060583355,-0.0002
-408.2052815,-17.84256361,3.85870211,-6.67E-05
-408.6854125,-18.16499138,3.444224433,0.000133333
-409.2505169,-18.61875889,3.081509414,0.000333333
-408.938231,-18.41718169,3.209427162,-7.28E-12
-408.964828,-18.50630551,2.998671127,0.000666667
-408.388317,-18.14450355,3.179566325,0.0002
-408.1353096,-17.87821084,3.424619838,0.000733333
-407.8418076,-17.68595422,3.323401074,-6.67E-05
-407.3538906,-17.42617682,3.04631651,-6.67E-05
-404.7180006,-15.49509791,3.028679867,-1.46E-11
-400.9635704,-12.74780692,3.231192572,7.28E-12
-396.9787109,-11.06237069,1.659597681,0.000133333
-379.589268,-8.213512648,-6.218215269,0.000733333
-353.2985711,-6.591421192,-6.984086245,-6.67E-05
-328.9109035,-4.000172356,-11.14536634,0.088566646
-321.6663387,1.202418757,-17.65745797,0.109133333
-274.1275893,0.646398912,-14.02726856,0.222799972
-240.8112054,-1.359111191,-19.86268276,0.287533343
-212.8988546,0.585728229,-16.58435354,0.350166649
-284.9075984,19.61516257,-27.43746896,0.158000007
-218.7463545,24.89589998,-23.65942359,0.313466698
-109.6767778,16.93749827,-7.795052565,0.614800036
-60.56962526,18.20692897,-20.28646312,0.697233319
-19.26619215,23.22758448,-29.10269949,0.789966702
41.42892537,43.923085,-32.22954594,0.955033422
102.2727703,68.08120507,-26.3934318,1.11439991
-0.713597316,93.44376003,-21.48233529,0.84676671
-65.02411363,89.37724043,-40.45391121,0.651299953
101.9265268,93.18181318,-32.55111269,1.131499767
205.3684493,109.5084004,22.28857248,1.5254668
25.58539049,150.536815,-11.79436005,0.980766654
90.46148158,134.1678615,54.48986852,1.35133338
-70.44719994,138.7681084,-41.23411442,0.642666698
-161.118417,116.7494196,-31.4407524,0.476800025
21.40062102,168.5758166,-3.244635573,1.092933297
-49.27192565,197.2012777,-16.49060066,0.811766684
-77.67432684,213.1489236,-30.79148373,0.691833317
11.76970339,248.409476,-3.249447869,1.02213335
-39.88794721,216.929179,-17.83208367,0.824599981
-15.64017988,143.2209226,-44.57504841,0.885566652
262.1544727,174.1857377,70.65810672,2.114433289
129.9309064,198.7108297,-28.77881737,1.323499799
306.9057613,210.1955859,-62.16225804,1.781066537
548.6674279,171.1063928,9.60727314,2.630600452
515.1524253,192.2567699,5.131809434,2.293933392
485.2462806,218.5576018,99.90374658,2.688199997
383.7362765,238.367643,-61.79566621,1.935266614
612.4905138,117.5033222,0.067361124,2.850599766
642.8478977,44.76359387,-29.46449607,2.979233265
702.7260761,45.23965116,-26.79248061,3.162833691
683.5342584,6.151714532,-45.53761702,3.109366417
698.3119114,6.106579222,-47.94930862,3.162299871
684.7183287,-26.65958292,-52.55259367,3.111466646
692.088374,-38.09939245,-52.57738455,3.154799938
708.5564346,-39.35988762,-47.41133981,3.220600367
718.9479064,-44.93121284,-49.30652983,3.247466803
731.8404006,-48.36243805,-49.3497834,3.276466131
741.8256012,-51.37770254,-50.55849344,3.298567295
756.8403664,-52.28105369,-49.11578011,3.340766191
770.3191169,-48.68132081,-49.14714741,3.371600389
792.4025713,-37.33293399,-50.65932916,3.4271667
791.4030429,-42.5303461,-50.45794648,3.433066368
796.5015007,-43.56258026,-44.87236255,3.435633659
811.1340279,-42.73355608,-40.05806176,3.488700151
828.18599,-40.07900183,-41.75863792,3.533666372
883.341297,-11.0943825,-45.83774347,3.655299902
903.7105052,7.268471626,-30.3802701,3.680933475
908.0862375,-1.372571505,-42.74281303,3.660633802
935.9104021,10.33564245,-61.9132481,3.744800091
960.0785565,50.00348921,-66.39765288,3.731633186
927.7268264,40.22964325,-54.36884327,3.661066771
906.8161387,-13.88041497,-61.73744101,3.598566294
907.2340849,-26.23608614,-59.49386383,3.639700651
916.3923679,-24.13801425,-62.52843963,3.688333988
895.108143,-35.88517019,-63.66238278,3.618665934
885.8408422,-38.13715829,-67.8982299,3.586933136
884.502745,-41.19741813,-67.53631707,3.598265648
888.7384852,-37.10870903,-72.25740766,3.6274333
887.0913931,-34.8386456,-77.661578,3.624466419
891.1111339,-34.26554283,-78.24354331,3.620500088
901.553366,-26.10185902,-78.49032592,3.626933098
934.7409834,-3.124572413,-68.52224113,3.720299721
951.1214748,23.56494398,-81.41970862,3.732533216
991.5562144,82.02149608,-59.6075236,3.826366425
408.1485981,233.3652458,-142.0236094,1.676066756
782.9473785,145.0614142,-53.92805661,3.183533669
836.0189344,3.047659224,-50.43551138,3.582966566
829.831278,-24.64495398,-68.48841743,3.511699915
823.6187568,-36.79275049,-76.46170393,3.476966858
815.1057019,-43.0063889,-80.58870521,3.447133064
808.7081658,-37.59277786,-75.75792653,3.465733528
641.6854569,-4.813508458,-138.03141,2.707000256
759.3310751,-28.4303061,-65.50274211,3.412000656
411.9714431,48.94849317,-99.73043755,2.09256649
696.0573806,55.14179207,-42.73076842,3.241966486
791.0390566,44.18487794,-48.93682763,3.504667282
781.8651175,22.05341422,-64.0086119,3.370999813
733.729802,-2.696914577,-70.49188093,3.242133617
687.5857505,-16.75291174,-53.82385907,3.185900211
576.3058116,-8.582143209,-69.46000394,2.787632942
572.6540385,-4.279222883,-93.38086072,2.733599901
617.9032128,-9.842219272,-59.48992763,3.005633593
602.5491889,-9.750926524,-68.6395224,2.959300041
568.0768568,-10.37442758,-74.10261697,2.827100039
549.6684215,-9.971973452,-73.93199323,2.772533655
543.5280961,-6.101366632,-70.33784284,2.753499746
520.2071021,4.992306742,-64.3845592,2.676600456
512.372679,6.180317236,-66.65797867,2.651433468
478.8238523,11.43670178,-81.09838337,2.4951334
491.0959287,5.994235048,-64.61419275,2.636833191
490.3167104,12.99722983,-67.3313682,2.645900011
43.42256374,68.515341,-83.17104253,1.00030005
-41.23542726,109.2619878,-5.890773408,1.040400028
206.6715223,84.5090144,-36.75609449,1.824466825
263.1962395,68.96863958,-35.71993024,2.043899775
214.9843763,52.75237622,-5.801118916,2.019399881
104.8058215,74.76713143,-79.90652245,1.267433286
153.2525139,91.45729447,-10.74875122,1.761433363
-54.52369009,158.6295361,-63.99514993,0.633599937
-110.3788406,169.0656403,-31.30883139,0.575666785
-134.5780486,162.1105204,-24.72287035,0.538999975
-159.0359507,157.5927693,-15.62006814,0.51396656
-127.7948299,168.2647891,-7.687873573,0.653199911
-117.6083148,173.773553,-14.05144215,0.6256001
-60.58510047,165.9749417,-32.75191358,0.732300043
-69.32967159,162.3848025,3.987372454,0.770999968
-63.69479286,124.3755432,-41.42875651,0.649866641
-139.2209139,113.6208936,-27.41561062,0.482466638
-233.848548,90.1787781,-28.77791054,0.245299995
-239.7611898,94.81202282,-17.42837717,0.292133361
-230.2778383,109.6365215,-2.837703511,0.370166719
-270.6241143,81.3126034,-8.505159839,0.237766638
-307.2064781,49.20180877,-8.891837088,0.145300016
-322.6957139,42.43557374,-7.430582258,0.112299971
-307.3513824,56.8903309,1.623393314,0.189099997
-339.4717756,31.54265755,-2.134481305,0.09406665
-367.2549984,12.1454654,-2.416460932,0.027299998
-372.4481282,8.610556836,-0.935086626,0.023166666
-376.549475,5.833447645,2.688056091,0.024666661
-386.3642318,-1.880495356,0.962737479,-0.0006
-393.8401837,-7.240498246,2.028414057,-0.006800001
-399.2689004,-11.26094467,2.026941432,0.0006
-403.8521974,-14.62536225,2.250748444,0.000733333
-405.7854975,-16.07882492,2.910525096,0
-405.3789354,-15.79563756,3.413141806,0.000266667
-403.8188699,-14.60774486,4.19552966,0.0004
-403.0196012,-13.91393288,4.305450864,-0.000133333
-403.7870964,-14.6438862,4.148452557,0.0004
-404.4510701,-15.08871922,4.179458613,0.0004
-405.0806964,-15.52069981,3.990257576,0.0002
-405.5211943,-15.7688096,4.315785833,0.000333333
-407.1003181,-16.9593806,4.223496993,0.000466667
-409.0283123,-18.34580977,3.828501907,0.0002
-409.2288757,-18.42275983,4.06601066,0.000166667
-409.2247867,-18.52187729,4.10884824,0.0002
-408.7363569,-18.14875794,4.223383518,0.0003
-408.2605484,-17.75258547,4.476486451,0.000866667
-408.5961714,-18.05092418,4.261953774,0.000133333
-407.0565635,-17.19744765,3.663804254,6.67E-05
-407.9624947,-17.53213086,4.176372157,0.000266667
-409.2723636,-18.47267415,4.029621834,0.000266667
-409.2473239,-18.38519248,4.109997689,0.000466667
-407.9972264,-17.56126014,4.456909573,0.000133333
-407.2470923,-16.92531504,4.579110287,0.000266667
-407.9414087,-17.51681203,4.516528289,-1.46E-11
-409.5809839,-18.35565082,4.256630354,0.000266667
-409.2760862,-18.38512175,4.212026739,0.000266667
-409.9556462,-18.57903656,4.232510814,0.000333333
-406.0721254,-16.1084911,4.382729531,0.000133333
-408.7566624,-17.73976543,4.429630736,0.000333333
-409.7869898,-18.45732262,4.464943418,-0.000133333
-410.2200316,-18.55337447,4.565413554,0.0006
-410.3718905,-18.55244716,4.710779895,0.000733333
-410.2305363,-18.56732962,4.868315888,0.0004
-410.2111124,-18.57256926,4.816750073,0.0002
-410.2853116,-18.57196284,4.745989739,0.000533333
-409.969473,-18.57922159,4.75207023,0.000466667
-409.5199623,-18.38851796,4.7590694,0.000133333
-409.317349,-18.28997983,4.911625741,0.000466667
